Date,Open,High,Low,Close,MA50,MA200
7/27/2022,3951.43 ,4039.56 ,3951.43 ,4023.61 ,3919.49 ,4348.60 
7/28/2022,4026.13 ,4078.95 ,3992.97 ,4072.43 ,3920.78 ,4347.15 
7/29/2022,4087.33 ,4140.15 ,4079.22 ,4130.29 ,3921.61 ,4346.05 
8/1/2022,4112.38 ,4144.95 ,4096.02 ,4118.63 ,3925.51 ,4344.83 
8/2/2022,4104.21 ,4140.47 ,4079.81 ,4091.19 ,3929.32 ,4343.09 
8/3/2022,4107.96 ,4167.66 ,4107.96 ,4155.17 ,3934.39 ,4341.51 
8/4/2022,4154.85 ,4161.29 ,4135.42 ,4151.94 ,3937.96 ,4339.84 
8/5/2022,4115.87 ,4151.58 ,4107.31 ,4145.19 ,3942.03 ,4337.96 
8/8/2022,4155.93 ,4186.62 ,4128.97 ,4140.06 ,3945.26 ,4335.98 
8/9/2022,4133.11 ,4137.30 ,4112.09 ,4122.47 ,3946.55 ,4333.85 
8/10/2022,4181.02 ,4211.03 ,4177.26 ,4210.24 ,3947.59 ,4332.17 
8/11/2022,4227.40 ,4257.91 ,4201.41 ,4207.27 ,3949.09 ,4330.38 
8/12/2022,4225.02 ,4280.47 ,4219.78 ,4280.15 ,3952.67 ,4328.90 
8/15/2022,4269.37 ,4301.79 ,4256.90 ,4297.14 ,3955.08 ,4327.63 
8/16/2022,4290.46 ,4325.28 ,4277.77 ,4305.20 ,3959.01 ,4326.18 
8/17/2022,4280.40 ,4302.18 ,4253.08 ,4274.04 ,3962.06 ,4324.52 
8/18/2022,4273.13 ,4292.53 ,4261.98 ,4283.74 ,3964.52 ,4322.87 
8/19/2022,4266.31 ,4266.31 ,4218.70 ,4228.48 ,3966.78 ,4320.86 
8/22/2022,4195.08 ,4195.08 ,4129.86 ,4137.99 ,3969.18 ,4318.25 
8/23/2022,4133.09 ,4159.77 ,4124.03 ,4128.73 ,3973.74 ,4315.49 
8/24/2022,4126.55 ,4156.56 ,4119.97 ,4140.77 ,3981.56 ,4312.71 
8/25/2022,4153.26 ,4200.54 ,4147.59 ,4199.12 ,3990.83 ,4310.19 
